category,kind,directory,asset,model,author,license,confidence,score,faces,url
Starships,individual,Individuals/Corsa-Vinn,Corsa-Vinn,"YTS-27 light freighter ""The Kowakian Corsair""",JP_2793,,inherited,1.0,,https://sketchfab.com/3d-models/none-3e187fed67034c488a0a9e41eae36628
Starships,individual,Individuals/Corsair (Derriphan-class),Corsair,"YTS-27 light freighter ""The Kowakian Corsair""",JP_2793,,exact,1.0,,https://sketchfab.com/3d-models/none-3e187fed67034c488a0a9e41eae36628
Starships,individual,Individuals/Corsalys,Corsalys,Corsalys,CorelliaStar Shipyards,,exact,1.0,,https://sketchfab.com/3d-models/none-117193108dcc45d7ab72d4b6193162f6
Starships,individual,Individuals/Coruscant Sky,Coruscant Sky,Star Wars: Imperial II Star Destroyer,Daniel,,inherited,1.0,,https://sketchfab.com/3d-models/none-b8bd2d35f7604670ab85242c06c6d280
Starships,individual,Individuals/Corvus (Raider II-class),Corvus,Star Wars: Raider-class Corvette,Daniel,,inherited,1.0,,https://sketchfab.com/3d-models/none-8732794c82044aafb1c74a55b07674e0
Starships,individual,Individuals/Coryx Moth,Coryx Moth,Star Wars: Imperial II Star Destroyer,Daniel,,inherited,1.0,,https://sketchfab.com/3d-models/none-b8bd2d35f7604670ab85242c06c6d280
Starships,individual,Individuals/Count Dooku's Type B escort shuttle,Count Dooku's Type B escort shuttle,Star Wars: Lambda Shuttle,Daniel,,inherited,1.0,,https://sketchfab.com/3d-models/none-9d160e16845a4b518a2d30a7c716f20d
Starships,individual,Individuals/Count Dooku's frigate,Count Dooku's frigate,Star Wars: Nebulon B Frigate,Daniel,,inherited,1.0,,https://sketchfab.com/3d-models/none-1986f7b0dee647b3b2374eb80dbd1faf
Starships,individual,Individuals/Count Dooku's solar sailer,Count Dooku's solar sailer,Star Wars: Personal Luxury Yacht 3000,Daniel,,inherited,1.0,,https://sketchfab.com/3d-models/none-cb6dee6d3d964b69ba50c95b220e4f9e
Starships,individual,Individuals/Count Dooku's solar sailer (Legends),Count Dooku's solar sailer,Star Wars: Personal Luxury Yacht 3000,Daniel,,inherited,1.0,,https://sketchfab.com/3d-models/none-cb6dee6d3d964b69ba50c95b220e4f9e
Starships,individual,Individuals/Counterpunch,Counterpunch,Star Wars: Nebulon B Frigate,Daniel,,inherited,1.0,,https://sketchfab.com/3d-models/none-1986f7b0dee647b3b2374eb80dbd1faf
Starships,individual,Individuals/Courage (Thranta-class War Cruiser),Courage,Arquitens-Class Light Cruiser,A308 Digital,,inherited,1.0,,https://sketchfab.com/3d-models/none-802fa70fb8cd46f5b741cb6b99f66229
Starships,individual,Individuals/Courageous (Imperial-class),Courageous,Star Wars; Imperial-Class Star Destroyer,Heataker,,inherited,1.0,,https://sketchfab.com/3d-models/none-fa18d537db4d4020a443c1802ec0f88e
Starships,individual,Individuals/Courageous (Inexpugnable-class),Courageous,Star Destroyer Hallway,A308 Digital,,inherited,1.0,,https://sketchfab.com/3d-models/none-eba38859a8484637a5d61f7e9e769a7d
Starships,individual,Individuals/Courageous (YT-1300 light freighter),Courageous,"YTS-27 light freighter ""The Kowakian Corsair""",JP_2793,,inherited,1.0,,https://sketchfab.com/3d-models/none-3e187fed67034c488a0a9e41eae36628
Starships,individual,Individuals/Cr'ee'ei,Cr'ee'ei,Star Wars; CR90 Corvette,Heataker,,weak,0.667,,https://sketchfab.com/3d-models/none-6356d19e87494ad8b6f55d0f0e9ec8a7
Starships,individual,Individuals/Crane's YT-2400 light freighter,Crane's YT-2400 light freighter,"YTS-27 light freighter ""The Kowakian Corsair""",JP_2793,,inherited,1.0,,https://sketchfab.com/3d-models/none-3e187fed67034c488a0a9e41eae36628
Starships,individual,Individuals/Crashed Munificent-class star frigate,Crashed Munificent-class star frigate,Invictus Class Star Cruiser,Conner Bentley,,inherited,1.0,,https://sketchfab.com/3d-models/none-8ba24769c02b401d88f50655505c92be
Starships,individual,Individuals/Crashed merchant vessel,Crashed merchant vessel,Star Wars: BFF-1 Bulk Freighter,Daniel,,inherited,1.0,,https://sketchfab.com/3d-models/none-2131f750afff479588a46321d17ee25f
Starships,individual,Individuals/Crater,Crater,Modern Marvels - Small Crater,np-dev,,exact,1.0,,https://sketchfab.com/3d-models/none-d80ed9084f8f4051a293749a9d5ea411
Starships,individual,Individuals/Crescent (freighter),Crescent,Crescent Rose - RWBY Fan art,XEN0KID,,exact,1.0,,https://sketchfab.com/3d-models/none-f3c988e21dc346308baacb1dcc3dc856
Starships,individual,Individuals/Cretacian,Cretacian,Kei Truck Scout Transport,JohnMesplay,,inherited,1.0,,https://sketchfab.com/3d-models/none-0cb4b243a9dd4d1ca1ab30a17f23ac81
Starships,individual,Individuals/Crimson Axe,Crimson Axe,Star Wars: Nebulon B Frigate,Daniel,,inherited,1.0,,https://sketchfab.com/3d-models/none-1986f7b0dee647b3b2374eb80dbd1faf
Starships,individual,Individuals/Crimson Firehawk,Crimson Firehawk,Star Wars: Lambda Shuttle,Daniel,,inherited,1.0,,https://sketchfab.com/3d-models/none-9d160e16845a4b518a2d30a7c716f20d
Starships,individual,Individuals/Crimson Sword,Crimson Sword,Altiverse Crimson Sword,Kaelyn Arlocke,,exact,1.0,,https://sketchfab.com/3d-models/none-7967bbb83ff443f9b00fa3be9d5e0177
Starships,individual,Individuals/Croc of Gold,Croc of Gold,"YTS-27 light freighter ""The Kowakian Corsair""",JP_2793,,inherited,1.0,,https://sketchfab.com/3d-models/none-3e187fed67034c488a0a9e41eae36628
Starships,individual,Individuals/Crucible,Crucible,Star Wars: Raider-class Corvette,Daniel,,inherited,1.0,,https://sketchfab.com/3d-models/none-8732794c82044aafb1c74a55b07674e0
Starships,individual,Individuals/Crucible (Imperial-class),Crucible,Star Wars; Imperial-Class Star Destroyer,Heataker,,inherited,1.0,,https://sketchfab.com/3d-models/none-fa18d537db4d4020a443c1802ec0f88e
Starships,individual,Individuals/Crucible (Legends),Crucible,Invictus Class Star Cruiser,Conner Bentley,,inherited,1.0,,https://sketchfab.com/3d-models/none-8ba24769c02b401d88f50655505c92be
Starships,individual,Individuals/Crucible (MC80 Star Cruiser),Crucible,Invictus Class Star Cruiser,Conner Bentley,,inherited,1.0,,https://sketchfab.com/3d-models/none-8ba24769c02b401d88f50655505c92be
Starships,individual,Individuals/Crumb Bomber,Crumb Bomber,Star Wars LAAT/i Gunship,smithson17,,inherited,1.0,,https://sketchfab.com/3d-models/none-77e5a30af490488c8019dcb3780ec847
Starships,individual,Individuals/Crumb Bomber (Legends),Crumb Bomber,Star Wars LAAT/i Gunship,smithson17,,inherited,1.0,,https://sketchfab.com/3d-models/none-77e5a30af490488c8019dcb3780ec847
Starships,individual,Individuals/Crusader (Victory-class),Crusader,Star Wars: Imperial II Star Destroyer,Daniel,,inherited,1.0,,https://sketchfab.com/3d-models/none-b8bd2d35f7604670ab85242c06c6d280
Starships,individual,Individuals/Crusader (corvette),Crusader,Star Wars: Raider-class Corvette,Daniel,,inherited,1.0,,https://sketchfab.com/3d-models/none-8732794c82044aafb1c74a55b07674e0
Starships,individual,Individuals/Crynyd,Crynyd,Star Wars: Imperial II Star Destroyer,Daniel,,inherited,1.0,,https://sketchfab.com/3d-models/none-b8bd2d35f7604670ab85242c06c6d280
Starships,individual,Individuals/Crystal (starfighter),Crystal,Star Wars Container Kyber Crystal [Free FBX],Losss,,exact,1.0,,https://sketchfab.com/3d-models/none-c87fcf7d0cca46ca8d4e9977b9e05997
Starships,individual,Individuals/Crystal Runner,Crystal Runner,"YTS-27 light freighter ""The Kowakian Corsair""",JP_2793,,inherited,1.0,,https://sketchfab.com/3d-models/none-3e187fed67034c488a0a9e41eae36628
Starships,individual,Individuals/Cularin 1,Cularin 1,Star Destroyer Hallway,A308 Digital,,inherited,1.0,,https://sketchfab.com/3d-models/none-eba38859a8484637a5d61f7e9e769a7d
Starships,individual,Individuals/Cularin 1 (Carrack-class),Cularin 1,Star Wars: Nebulon B Frigate,Daniel,,inherited,1.0,,https://sketchfab.com/3d-models/none-1986f7b0dee647b3b2374eb80dbd1faf
Starships,individual,Individuals/Cutlass (CR90 corvette),Cutlass,Star Wars: Raider-class Corvette,Daniel,,inherited,1.0,,https://sketchfab.com/3d-models/none-8732794c82044aafb1c74a55b07674e0
Starships,individual,Individuals/Cutlass (R93 refractor),Cutlass,X-wing starfighter | T-65C-A2,Alana G,,inherited,1.0,,https://sketchfab.com/3d-models/none-2397144aa2314e8fb03bf131d8f56af4
Starships,individual,Individuals/Cynda Dreaming,Cynda Dreaming,"YTS-27 light freighter ""The Kowakian Corsair""",JP_2793,,inherited,1.0,,https://sketchfab.com/3d-models/none-3e187fed67034c488a0a9e41eae36628
Starships,individual,Individuals/D-Squad's Maxillipede shuttle,D-Squad's Maxillipede shuttle,Star Wars: Lambda Shuttle,Daniel,,inherited,1.0,,https://sketchfab.com/3d-models/none-9d160e16845a4b518a2d30a7c716f20d
Starships,individual,Individuals/D-Squad's Maxillipede shuttle (Legends),D-Squad's Maxillipede shuttle,Star Wars: Lambda Shuttle,Daniel,,inherited,1.0,,https://sketchfab.com/3d-models/none-9d160e16845a4b518a2d30a7c716f20d
Starships,individual,Individuals/DGS-047,DGS-047,Star Wars LAAT/i Gunship,smithson17,,inherited,1.0,,https://sketchfab.com/3d-models/none-77e5a30af490488c8019dcb3780ec847
Starships,individual,Individuals/DS-73-5,DS-73-5,X-wing starfighter | T-65C-A2,Alana G,,inherited,1.0,,https://sketchfab.com/3d-models/none-2397144aa2314e8fb03bf131d8f56af4
Starships,individual,Individuals/Dagger (Galactic Republic),Dagger,Master Yoda's New Hobby,AndreOrla,,exact,1.0,,https://sketchfab.com/3d-models/none-c14e83c130fe40a5bd7c3ae0a41dc9c2
Starships,individual,Individuals/Dagger 1,Dagger 1,Star Wars: Raider-class Corvette,Daniel,,inherited,1.0,,https://sketchfab.com/3d-models/none-8732794c82044aafb1c74a55b07674e0
Starships,individual,Individuals/Daisy Mae,Daisy Mae,X-wing starfighter | T-65C-A2,Alana G,,inherited,1.0,,https://sketchfab.com/3d-models/none-2397144aa2314e8fb03bf131d8f56af4
Starships,individual,Individuals/Dalkor Dagger,Dalkor Dagger,Low Altitude Assault Transport- Diorama,SpatialNeglect,,inherited,1.0,,https://sketchfab.com/3d-models/none-66638b9660ed4608843ef2ed8ec34c0a
Starships,individual,Individuals/Dalliance,Dalliance,"YTS-27 light freighter ""The Kowakian Corsair""",JP_2793,,inherited,1.0,,https://sketchfab.com/3d-models/none-3e187fed67034c488a0a9e41eae36628
Starships,individual,Individuals/Dalnan Dawn,Dalnan Dawn,Invictus Class Star Cruiser,Conner Bentley,,inherited,1.0,,https://sketchfab.com/3d-models/none-8ba24769c02b401d88f50655505c92be
Starships,individual,Individuals/Damocles,Damocles,Star Wars: Nebulon B Frigate,Daniel,,inherited,1.0,,https://sketchfab.com/3d-models/none-1986f7b0dee647b3b2374eb80dbd1faf
Starships,individual,Individuals/Danticore,Danticore,Star Wars: Nebulon B Frigate,Daniel,,inherited,1.0,,https://sketchfab.com/3d-models/none-1986f7b0dee647b3b2374eb80dbd1faf
Starships,individual,Individuals/Dantooine (CR90 corvette),Dantooine,Grassland Planet,great.biotic.wind1,,exact,1.0,,https://sketchfab.com/3d-models/none-2fd6581ee4df470ca9bca90ffb810b04
Starships,individual,Individuals/Dao's flagship,Dao's flagship,Star Wars: Imperial II Star Destroyer,Daniel,,inherited,1.0,,https://sketchfab.com/3d-models/none-b8bd2d35f7604670ab85242c06c6d280
Starships,individual,Individuals/Dao's flagship (Legends),Dao's flagship,Venator-Class Star Destroyer,A308 Digital,,inherited,1.0,,https://sketchfab.com/3d-models/none-5c2d88be90384395a2b4c23c7203e7d6
Starships,individual,Individuals/Dar'oosh,Dar'oosh,Phase 3 Dark Trooper [Star Wars The Mandalorian],SpiritedSpy,,weak,0.5,,https://sketchfab.com/3d-models/none-942e52cd3a1241089dc351f318eec283
Starships,individual,Individuals/Daring (frigate),Daring,Star Wars: Nebulon B Frigate,Daniel,,inherited,1.0,,https://sketchfab.com/3d-models/none-1986f7b0dee647b3b2374eb80dbd1faf
Starships,individual,Individuals/Dark Nebula (Star Destroyer),Dark Nebula,Star Wars: Imperial II Star Destroyer,Daniel,,inherited,1.0,,https://sketchfab.com/3d-models/none-b8bd2d35f7604670ab85242c06c6d280
Starships,individual,Individuals/Dark Omen,Dark Omen,Star Wars: Imperial II Star Destroyer,Daniel,,inherited,1.0,,https://sketchfab.com/3d-models/none-b8bd2d35f7604670ab85242c06c6d280
Starships,individual,Individuals/Dark Star,Dark Star,Dark - Saber Blender 2.90,Darth Iron,,exact,1.0,,https://sketchfab.com/3d-models/none-73bb3524d59445c580552c71bce7543d
Starships,individual,Individuals/Dark Star (bulk freighter),Dark Star,Dark - Saber Blender 2.90,Darth Iron,,exact,1.0,,https://sketchfab.com/3d-models/none-73bb3524d59445c580552c71bce7543d
Starships,individual,Individuals/Dark Syndicate,Dark Syndicate,Invictus Class Star Cruiser,Conner Bentley,,inherited,1.0,,https://sketchfab.com/3d-models/none-8ba24769c02b401d88f50655505c92be
Starships,individual,Individuals/Darkhawk,Darkhawk,"YTS-27 light freighter ""The Kowakian Corsair""",JP_2793,,inherited,1.0,,https://sketchfab.com/3d-models/none-3e187fed67034c488a0a9e41eae36628
Starships,individual,Individuals/Darkk,Darkk,Star Wars; Imperial-Class Star Destroyer,Heataker,,inherited,1.0,,https://sketchfab.com/3d-models/none-fa18d537db4d4020a443c1802ec0f88e
Starships,individual,Individuals/Darkness (battlecruiser),Darkness,Harrrower Class Dreadnaught,Kalashnikov 3D,,inherited,1.0,,https://sketchfab.com/3d-models/none-6e230cc7f6b84649bbab92a5f5ee6347
